"category","source","name","cause","death"
"writers","http://www.wikidata.org/entity/Q440569","A. C. Crispin",,"2013-09-06T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q18124270","A. C. Murali Mohan",,"2014-06-25T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4647941","A. J. Masters",,"2015-01-12T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3595806","A. K. Hangal",,"2012-08-26T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q19842930","A. L. Rees",,"2014-11-28T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4648211","A. Nayyar",,"2016-11-11T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q3608937","A. Rafiq",,"2013-01-19T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q19547910","A. Velupillai",,"2015-11-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4647023","A.B.C. Whipple",,"2013-03-17T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q1848982","Aafje Heynis",,"2015-12-16T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3497353","Aalaeddin Melmasi",,"2011-06-25T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4661747","Aarno Raninen",,"2014-09-03T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q301632","Aaron Allston",,"2014-02-27T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4661823","Aaron Banks",,"2013-01-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q302817","Aaron Swartz","suicide by hanging","2013-01-11T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4144488","Aarthi Aggarwal",,"2015-06-06T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q1778583","Aase Nordmo Løvberg",,"2013-01-25T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4662724","Aasia",,"2013-03-09T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q136918","Aatos Erkko",,"2012-05-05T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2232889","Ab van der Steur",,"2012-11-14T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q6406659","Abbas Amiri",,"2011-02-26T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q8013877","Abbas Bariz",,"2011-01-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q8320654","Abdel Hafed Benotman",,"2015-02-20T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q6812551","Abdel Tawab Jusef",,"2015-09-28T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2820977","Abdelaziz Benabdallah",,"2012-02-04T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2821031","Abdelhadi Tazi",,"2015-04-02T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q20895487","Abdelhamid Anis",,"2015-08-15T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q20770003","Abdelkader Bouhi",,"2014-06-22T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2043799","Abdelmajid Lakhal",,"2014-09-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q308021","Abdelwahab Meddeb",,"2014-11-06T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2821227","Abderezzak Hellal",,"2014-06-22T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q1280909","Abderrazak Hammami",,"2012-10-31T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q308123","Abdesslam Yassine",,"2012-12-13T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2737040","Abdias do Nascimento",,"2011-05-23T00:00:00Z"
